文件名,文件路径,策略类型,真策略,可执行,ML依赖,文件依赖,时间框架,市场类型,账户类型,ML库,代码行数,扫描状态,错误信息
42 大盘ETF动量轮动 RSRS择时策略-无纳指（5年半861%）.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/42 大盘ETF动量轮动 RSRS择时策略-无纳指（5年半861%）.txt,依赖ML库策略; ETF策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,ETF,单账户,statsmodels; numpy,315,valid,
42 实盘出现的问题和解决办法.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/42 实盘出现的问题和解决办法.txt,期货/股指策略,是,是,否,否,日线,期货/股指,单账户,,330,valid,
42 市值，研发支出，roe，三因子，跑赢大盘.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/42 市值，研发支出，roe，三因子，跑赢大盘.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,talib,346,valid,
43 小市值再优化【年化98% 胜率69% 回撤27%】无未来函数.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/43 小市值再优化【年化98% 胜率69% 回撤27%】无未来函数.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; numpy,285,valid,
43 窄基ETF轮动：年化收益82.68%，最大回撤13.54%.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/43 窄基ETF轮动：年化收益82.68%，最大回撤13.54%.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; numpy,104,valid,
44 兼顾业绩增长和PEG指标的5因子股票策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/44 兼顾业绩增长和PEG指标的5因子股票策略.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; numpy,338,valid,
44 国九条 年化130.74% 回撤11% 众神Debug版.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/44 国九条 年化130.74% 回撤11% 众神Debug版.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; numpy,423,valid,
44 最易上手的网格策略v2.0，设置几个参数就可以直接使用.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/44 最易上手的网格策略v2.0，设置几个参数就可以直接使用.txt,ETF策略; 分钟级/日内策略; 期货/股指策略,是,是,否,否,分钟级,ETF,单账户,,249,valid,
44 集合竞价摸奖策略1.0-致敬2022.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/44 集合竞价摸奖策略1.0-致敬2022.txt,依赖ML库策略; 期货/股指策略; 分钟级/日内策略; 多账户/子账户策略; 依赖文件资源策略,是,否,是,是,分钟级,期货/股指,多账户,talib; scipy,314,missing_api,missing_api
"45 价值投资+期货对冲V4.0,无惧市场大跌.txt","/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/45 价值投资+期货对冲V4.0,无惧市场大跌.txt",依赖ML库策略; 多账户/子账户策略; 期货/股指策略,是,否,是,否,日线,期货/股指,多账户,pandas; numpy,355,missing_api,missing_api
45 此消彼长.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/45 此消彼长.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; numpy,241,valid,
45 海龟突破系统，19-21年化150，无未来函数和过拟合.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/45 海龟突破系统，19-21年化150，无未来函数和过拟合.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas,103,valid,
45 真真正正的诚意之作-2021超十倍.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/45 真真正正的诚意之作-2021超十倍.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,pandas,227,valid,
46 【深度解析 四】聚宽三因子基本面周线模型策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/46 【深度解析 四】聚宽三因子基本面周线模型策略.txt,依赖ML库策略; 研究说明/非策略文档; ETF策略; 期货/股指策略; 分钟级/日内策略,否,是,是,否,分钟级,ETF,单账户,pandas,724,valid,
46 大盘股也能穿越牛熊市.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/46 大盘股也能穿越牛熊市.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,talib; numpy,563,valid,
46 敢于直接实盘的—八仙过海V2.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/46 敢于直接实盘的—八仙过海V2.txt,依赖ML库策略; ETF策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,ETF,单账户,pandas; talib,260,valid,
46 韶华研究之十二--还算可以的竞价研究.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/46 韶华研究之十二--还算可以的竞价研究.txt,研究说明/非策略文档; 依赖ML库策略; 依赖文件资源策略; 期货/股指策略,否,否,是,是,日线,期货/股指,单账户,sklearn; pandas; numpy,443,not_strategy,非策略文件（研究文档/配套资料）
46 高增股池小市值轮动.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/46 高增股池小市值轮动.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; numpy,241,valid,
47 别人恐惧我贪婪——重视大盘择时.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/47 别人恐惧我贪婪——重视大盘择时.txt,分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,是,否,是,分钟级,期货/股指,单账户,,141,valid,
47 多策略整合大E小十年百倍（年化64%回撤28%）.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/47 多策略整合大E小十年百倍（年化64%回撤28%）.txt,依赖ML库策略; ETF策略; 期货/股指策略; 分钟级/日内策略; 多账户/子账户策略; 依赖文件资源策略,是,是,是,是,分钟级,ETF,多账户,pandas; numpy,700,valid,
47 年化46%的北向资金+20日涨幅的创业板策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/47 年化46%的北向资金+20日涨幅的创业板策略.txt,ETF策略; 依赖文件资源策略; 期货/股指策略,是,是,否,是,日线,ETF,单账户,,143,valid,
47 随机森林量价多因子选股短线交易机器学习.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/47 随机森林量价多因子选股短线交易机器学习.txt,研究说明/非策略文档; 依赖ML库策略; 依赖文件资源策略; 期货/股指策略,否,是,是,是,日线,期货/股指,单账户,pandas; numpy,187,valid,
47 高收益低回撤的小市值策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/47 高收益低回撤的小市值策略.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,talib,277,valid,
48 一种宏观数据的中长线策略，年化15%，最大回撤9%.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/48 一种宏观数据的中长线策略，年化15%，最大回撤9%.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; scipy; numpy,288,valid,
48 低代码迁移成本的实盘方案：jqtrade+one quant.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/48 低代码迁移成本的实盘方案：jqtrade+one quant.txt,研究说明/非策略文档; 依赖ML库策略; 依赖文件资源策略; 期货/股指策略,否,否,是,是,日线,期货/股指,单账户,pandas,149,no_initialize,no_initialize
48 动量ETF轮动-RSRS择时-卡尔曼滤波.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/48 动量ETF轮动-RSRS择时-卡尔曼滤波.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,numpy,191,valid,
48 投资回报率ROIC中等市值.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/48 投资回报率ROIC中等市值.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; numpy,150,valid,
48 研究 聚宽高手文章300篇列表.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/48 研究 聚宽高手文章300篇列表.txt,研究说明/非策略文档,否,否,否,否,日线,股票,单账户,,7,not_strategy,非策略文件（研究文档/配套资料）
48 配套资料.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/48 配套资料.txt,研究说明/非策略文档,否,否,否,否,日线,股票,单账户,,2,not_strategy,非策略文件（研究文档/配套资料）
49 【漂亮50 2.0止损版本】为了降低回撤，加入择时止损模块.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/49 【漂亮50 2.0止损版本】为了降低回撤，加入择时止损模块.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; numpy,350,valid,
49 修改成一创版本.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/49 修改成一创版本.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,pandas; statsmodels; numpy,427,valid,
49 动量策略年化62%.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/49 动量策略年化62%.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,pandas; numpy,146,valid,
49 根据北上资金买股票的最佳持股时间探讨.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/49 根据北上资金买股票的最佳持股时间探讨.txt,研究说明/非策略文档; 多账户/子账户策略; 依赖ML库策略; 期货/股指策略,否,否,是,否,日线,期货/股指,多账户,pandas; talib,175,syntax_error,语法错误: Missing parentheses in call to 'print'. Did you mean print('前%d个交易日港资（北向资金）净买额最高的股票：\n'%g.nday)? (行 39)
50 ETF动量轮动RSRS择时-V2.1.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/50 ETF动量轮动RSRS择时-V2.1.txt,依赖ML库策略; ETF策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,ETF,单账户,statsmodels; numpy,241,valid,
50 【7日趋势】短线交易策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/50 【7日趋势】短线交易策略.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,pandas; talib; numpy,425,valid,
50 分享一种K线小碎步后突破的分钟级打法.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/50 分享一种K线小碎步后突破的分钟级打法.txt,依赖ML库策略; 分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,分钟级,期货/股指,单账户,pandas,564,valid,
50 基本面策略，一种新思路，超额376%.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/50 基本面策略，一种新思路，超额376%.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,statsmodels,261,valid,
50 昨日炸板股策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/50 昨日炸板股策略.txt,依赖ML库策略; 分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,分钟级,期货/股指,单账户,talib,224,valid,
51 “四大搅屎棍策略”学习笔记-有魔改.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/51 “四大搅屎棍策略”学习笔记-有魔改.txt,研究说明/非策略文档; 依赖ML库策略; 期货/股指策略,否,否,是,否,日线,期货/股指,单账户,pandas; talib; numpy,343,not_strategy,非策略文件（研究文档/配套资料）
51 北上资金持股比选股策略（北向港资外资）.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/51 北上资金持股比选股策略（北向港资外资）.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,pandas,202,valid,
51 缠论交易策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/51 缠论交易策略.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,numpy,584,valid,
51 行业反转效应（年化32%，回撤8%）.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/51 行业反转效应（年化32%，回撤8%）.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; scipy; numpy,281,valid,
51 配套资料.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/51 配套资料.txt,股票策略; 研究说明/非策略文档,否,否,否,否,日线,股票,单账户,,5,not_strategy,非策略文件（研究文档/配套资料）
52 增强型投资组合优化（EPO）方法研究.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/52 增强型投资组合优化（EPO）方法研究.txt,研究说明/非策略文档; ETF策略; 依赖ML库策略; 期货/股指策略,否,否,是,否,日线,ETF,单账户,pandas; scipy; numpy,106,not_strategy,非策略文件（研究文档/配套资料）
52 机器学习滚动训练价投策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/52 机器学习滚动训练价投策略.txt,研究说明/非策略文档; 依赖ML库策略; 期货/股指策略,否,是,是,否,日线,期货/股指,单账户,sklearn; pandas; xgboost; numpy,209,valid,
52 根据北上资金买A股策略Python3版（北向港资外资）.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/52 根据北上资金买A股策略Python3版（北向港资外资）.txt,依赖ML库策略; 多账户/子账户策略; 期货/股指策略,是,是,是,否,日线,期货/股指,多账户,pandas; talib,147,valid,
52 龙头战法之单阳不破.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/52 龙头战法之单阳不破.txt,分钟级/日内策略; 期货/股指策略,是,是,否,否,分钟级,期货/股指,单账户,,308,valid,
"53 TSmall-100, 微盘三正.txt","/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/53 TSmall-100, 微盘三正.txt",依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas,100,valid,
53 基于大盘PE标准差偏离度的聪明基金定投策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/53 基于大盘PE标准差偏离度的聪明基金定投策略.txt,依赖ML库策略; ETF策略; 期货/股指策略; 多账户/子账户策略; 依赖文件资源策略,是,是,是,是,日线,ETF,多账户,numpy,239,valid,
53 微盘股400每日轮动再平衡.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/53 微盘股400每日轮动再平衡.txt,期货/股指策略,是,是,否,否,日线,期货/股指,单账户,,66,valid,
53 筹码选股.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/53 筹码选股.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas,288,valid,
53 超跌网格交易大法V1.2：稳健跑赢大盘-年化13%回撤7%.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/53 超跌网格交易大法V1.2：稳健跑赢大盘-年化13%回撤7%.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; numpy,904,valid,
54 sales_growth今年最优版.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/54 sales_growth今年最优版.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,pandas; numpy,252,valid,
54 价值投资策略-大盘择时.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/54 价值投资策略-大盘择时.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,talib,404,valid,
54 养花大哥 追市场热点策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/54 养花大哥 追市场热点策略.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas,315,valid,
54 发一个学习策略5年70倍，思路可以学习.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/54 发一个学习策略5年70倍，思路可以学习.txt,研究说明/非策略文档; 分钟级/日内策略; 依赖ML库策略; 期货/股指策略,否,是,是,否,分钟级,期货/股指,单账户,pandas; talib; numpy,199,valid,
55 ETF轮动策略-入门1.0.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/55 ETF轮动策略-入门1.0.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,numpy,292,valid,
55 价值投资改进版-6年9.5倍.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/55 价值投资改进版-6年9.5倍.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,pandas; numpy,283,valid,
55 大市值价值投资加自定义邮箱推送 Ahfu.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/55 大市值价值投资加自定义邮箱推送 Ahfu.txt,依赖文件资源策略; 期货/股指策略,是,是,否,是,日线,期货/股指,单账户,,297,valid,
55 怎么让龟速变奔跑？以“首版突破一进二”为例.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/55 怎么让龟速变奔跑？以“首版突破一进二”为例.txt,分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,是,否,是,分钟级,期货/股指,单账户,,191,valid,
56 一创PEG+EBIT+turnover_volatility.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/56 一创PEG+EBIT+turnover_volatility.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; numpy,245,valid,
56 分享券商金股组合增强.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/56 分享券商金股组合增强.txt,依赖ML库策略; 分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,分钟级,期货/股指,单账户,sklearn; pandas; scipy; statsmodels; numpy,1159,valid,
56 双人工智能AI配合，样本外夏普3.9.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/56 双人工智能AI配合，样本外夏普3.9.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,pandas; xgboost; torch; numpy,474,valid,
56 基于趋势、拥挤、景气的行业轮动，及行业强势个股的选择.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/56 基于趋势、拥挤、景气的行业轮动，及行业强势个股的选择.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,pandas,291,valid,
56 大盘一路向上时，追总龙头2个月3倍.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/56 大盘一路向上时，追总龙头2个月3倍.txt,依赖ML库策略; 分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,分钟级,期货/股指,单账户,sklearn; pandas; numpy,170,valid,
57 别人恐惧我贪婪3——年化20%的股债组合.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/57 别人恐惧我贪婪3——年化20%的股债组合.txt,ETF策略; 分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,是,否,是,分钟级,ETF,单账户,,135,valid,
57 股指期货套利，这段时间都没有交易分享给大家.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/57 股指期货套利，这段时间都没有交易分享给大家.txt,依赖ML库策略; 期货/股指策略; 分钟级/日内策略; 多账户/子账户策略; 依赖文件资源策略,是,是,是,是,分钟级,期货/股指,多账户,numpy,169,valid,
57 配套资料.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/57 配套资料.txt,研究说明/非策略文档,否,否,否,否,日线,股票,单账户,,1,not_strategy,非策略文件（研究文档/配套资料）
"57 韶华研究之五-ETF轮动,躺赚,夏普2.txt","/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/57 韶华研究之五-ETF轮动,躺赚,夏普2.txt",研究说明/非策略文档; ETF策略; 期货/股指策略; 分钟级/日内策略; 依赖文件资源策略,否,否,否,是,分钟级,ETF,单账户,,336,not_strategy,非策略文件（研究文档/配套资料）
57 韶华研究之十八，201系列.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/57 韶华研究之十八，201系列.txt,依赖ML库策略; 研究说明/非策略文档; 期货/股指策略; 分钟级/日内策略; 依赖文件资源策略,否,否,是,是,分钟级,期货/股指,单账户,sklearn; pandas; numpy,490,not_strategy,非策略文件（研究文档/配套资料）
58 Debug-输出信息-多标的版ETF策略(ETF复现之三）.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/58 Debug-输出信息-多标的版ETF策略(ETF复现之三）.txt,依赖ML库策略; ETF策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,ETF,单账户,pandas; talib,162,valid,
58 ETF动量轮动RSRS与北上择时-股债平衡-盘中止损.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/58 ETF动量轮动RSRS与北上择时-股债平衡-盘中止损.txt,依赖ML库策略; ETF策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,ETF,单账户,statsmodels; numpy,340,valid,
58 严格资金管理，股指期货套利.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/58 严格资金管理，股指期货套利.txt,依赖ML库策略; 期货/股指策略; 分钟级/日内策略; 多账户/子账户策略; 依赖文件资源策略,是,是,是,是,分钟级,期货/股指,多账户,numpy,169,valid,
"58 融券做空,3年35倍多！已模拟2年半，动态跑盘收益惊人！.txt","/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/58 融券做空,3年35倍多！已模拟2年半，动态跑盘收益惊人！.txt",多账户/子账户策略; 依赖文件资源策略; 期货/股指策略,是,是,否,是,日线,期货/股指,多账户,,130,valid,
58 韶华研究之四-菲阿里四阶在T+1的短线策略应用.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/58 韶华研究之四-菲阿里四阶在T+1的短线策略应用.txt,依赖ML库策略; 研究说明/非策略文档; 期货/股指策略; 分钟级/日内策略; 依赖文件资源策略,否,否,是,是,分钟级,期货/股指,单账户,sklearn; pandas; numpy,326,not_strategy,非策略文件（研究文档/配套资料）
59 北向RSRS与布林带择时.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/59 北向RSRS与布林带择时.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,pandas; statsmodels; numpy,238,valid,
59 基于Gyro^.^大神的小市值策略的因子匹配研究.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/59 基于Gyro^.^大神的小市值策略的因子匹配研究.txt,研究说明/非策略文档; 依赖ML库策略; 期货/股指策略,否,否,是,否,日线,期货/股指,单账户,pandas,176,not_strategy,非策略文件（研究文档/配套资料）
59 年化62%的动量策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/59 年化62%的动量策略.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,pandas; numpy,145,valid,
59 追板策略，今年收益已翻倍，低操作低回撤高收益可实盘.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/59 追板策略，今年收益已翻倍，低操作低回撤高收益可实盘.txt,依赖ML库策略; 分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,分钟级,期货/股指,单账户,pandas,442,valid,
60 ETF动量轮动RSRS择时-v2.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/60 ETF动量轮动RSRS择时-v2.txt,依赖ML库策略; ETF策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,ETF,单账户,statsmodels; numpy,251,valid,
60 【深度解析 二】资产负债与ROA模型 5股.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/60 【深度解析 二】资产负债与ROA模型 5股.txt,研究说明/非策略文档; 分钟级/日内策略; 期货/股指策略,否,是,否,否,分钟级,期货/股指,单账户,,359,valid,
60 可能是最接近实盘的“基本面三角”.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/60 可能是最接近实盘的“基本面三角”.txt,研究说明/非策略文档; 依赖ML库策略; 依赖文件资源策略; 期货/股指策略,否,否,是,是,日线,期货/股指,单账户,sklearn,386,no_initialize,no_initialize
60 高股息V1.0（小程序公开股池）.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/60 高股息V1.0（小程序公开股池）.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; talib; numpy,287,valid,
61 BiLSTM for ETF.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/61 BiLSTM for ETF.txt,依赖ML库策略; ETF策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,ETF,单账户,sklearn; pandas; torch; numpy,155,valid,
61 扩散指标择时.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/61 扩散指标择时.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; numpy,285,valid,
61 抄底神器2.0，低回撤，高成功率.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/61 抄底神器2.0，低回撤，高成功率.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,pandas; numpy,174,valid,
61 简单ETF策略，年化97%.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/61 简单ETF策略，年化97%.txt,ETF策略; 期货/股指策略,是,是,否,否,日线,ETF,单账户,,266,valid,
61 配套资料.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/61 配套资料.txt,股票策略; 研究说明/非策略文档,否,否,否,否,日线,股票,单账户,,5,not_strategy,非策略文件（研究文档/配套资料）
62 分享一个最近两年非常有效的因子.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/62 分享一个最近两年非常有效的因子.txt,依赖文件资源策略; 期货/股指策略,是,是,否,是,日线,期货/股指,单账户,,78,valid,
62 北向资金交易能力一定强吗.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/62 北向资金交易能力一定强吗.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; numpy,222,valid,
62 基金溢价（模拟效果好！）.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/62 基金溢价（模拟效果好！）.txt,依赖ML库策略; ETF策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,ETF,单账户,talib,241,valid,
62 研究一种K线小碎步后突破的分钟级策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/62 研究一种K线小碎步后突破的分钟级策略.txt,依赖ML库策略; 研究说明/非策略文档; 期货/股指策略; 分钟级/日内策略; 依赖文件资源策略,否,否,是,是,分钟级,期货/股指,单账户,pandas,564,not_strategy,非策略文件（研究文档/配套资料）
63 3年复合200+%收益+超低回撤11%以内，无惧大跌.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/63 3年复合200+%收益+超低回撤11%以内，无惧大跌.txt,依赖ML库策略; ETF策略; 期货/股指策略; 分钟级/日内策略; 依赖文件资源策略,是,是,是,是,分钟级,ETF,单账户,pandas; talib; numpy,548,valid,
63 5年12倍-小市值.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/63 5年12倍-小市值.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,pandas; statsmodels; numpy,351,valid,
